--- watch ---
3-gatsu no Lion | Akari Kawamoto 🚫 ($disable)
Alice to Zouroku | Yonaga Hinagiri
Amagami | Ai Nanasaki 🚫 ($disable)
Amagami | Haruka Morishima 🚫 ($disable)
Amagami | Hibiki Tsukahara 🚫 ($disable)
Amagami | Junichi Tachibana 🚫 ($disable)
Amagami | Kaoru Tanamachi 🚫 ($disable)
Amagami | Miya Tachibana 🚫 ($disable)
Amagami | Rihoko Sakurai 🚫 ($disable)
Amagami | Risa Kamizaki 🚫 ($disable)
Amagami | Tsukasa Ayatsuji 🚫 ($disable)
Amagi Brilliant Park | Ashe (ABP) 🚫 ($disable)
Amagi Brilliant Park | Biino Bandou 🚫 ($disable)
Amagi Brilliant Park | Eiko Adachi 🚫 ($disable)
Amagi Brilliant Park | Isuzu Sento 🚫 ($disable)
Amagi Brilliant Park | Kobori 🚫 ($disable)
Amagi Brilliant Park | Latifa Fleuranza 🚫 ($disable)
Amagi Brilliant Park | Macaron 🚫 ($disable)
Amagi Brilliant Park | Muse 🚫 ($disable)
Amagi Brilliant Park | Salama 🚫 ($disable)
Amagi Brilliant Park | Seiya Kanie 🚫 ($disable)
Amagi Brilliant Park | Shiina Chuujou 🚫 ($disable)
Amagi Brilliant Park | Sylphy (ABP) 🚫 ($disable)
Amagi Brilliant Park | Takaya Kurisu 🚫 ($disable)
Amagi Brilliant Park | Toriken 🚫 ($disable)
Ani ni Tsukeru Kusuri wa Nai! | Miao Miao 🚫 ($disable)
Ani ni Tsukeru Kusuri wa Nai! | Shi Fen 🚫 ($disable)
Ani ni Tsukeru Kusuri wa Nai! | Shi Miao 🚫 ($disable)
Ani ni Tsukeru Kusuri wa Nai! | Wan Sui 🚫 ($disable)
Ano Natsu de Matteru | Ichika Takatsuki 🚫 ($disable)
Ano Natsu de Matteru | Kaito Kirishima 🚫 ($disable)
Ano Natsu de Matteru | Kanna Tanigawa 🚫 ($disable)
Ano Natsu de Matteru | Mio Kitahara 🚫 ($disable)
Ano Natsu de Matteru | Rinon 🚫 ($disable)
Ano Natsu de Matteru | Tetsuro Ichigaki 🚫 ($disable)
Anohana: The Flower We Saw That Day | Chiriko Tsurumi 🚫 ($disable)
Anohana: The Flower We Saw That Day | Jinta Yadomi 🚫 ($disable)
Anohana: The Flower We Saw That Day | Meiko Honma 🚫 ($disable)
Anohana: The Flower We Saw That Day | Touko Yadomi 🚫 ($disable)
Ansatsu Kyoushitsu | Hinano Kurahashi 🚫 ($disable)
Ansatsu Kyoushitsu | Nagisa Shiota 🚫 ($disable)
Ansatsu Kyoushitsu | Rio Nakamura 🚫 ($disable)
Ao Haru Ride | Aya Kominato 🚫 ($disable)
Ao Haru Ride | Futaba Yoshioka 🚫 ($disable)
Ao Haru Ride | Kou Mabuchi 🚫 ($disable)
Ao Haru Ride | Shuuko Murao 🚫 ($disable)
Ao Haru Ride | Youichi Tanaka 🚫 ($disable)
Ao Haru Ride | Yuuri Makita 🚫 ($disable)
Ao no Kanata no Four Rhythm | Aoi Kagami 🚫 ($disable)
Ao no Kanata no Four Rhythm | Arika Okoze 🚫 ($disable)
Ao no Kanata no Four Rhythm | Asuka Kurashina 🚫 ($disable)
Ao no Kanata no Four Rhythm | Botan Arisaka 🚫 ($disable)
Ao no Kanata no Four Rhythm | Irina Avalon 🚫 ($disable)
Ao no Kanata no Four Rhythm | Kasumi Kurobuchi 🚫 ($disable)
Ao no Kanata no Four Rhythm | Madoka Aoyagi 🚫 ($disable)
Ao no Kanata no Four Rhythm | Masaya Hinata 🚫 ($disable)
Ao no Kanata no Four Rhythm | Mashiro Arisaka 🚫 ($disable)
Ao no Kanata no Four Rhythm | Mayu Ganeko 🚫 ($disable)
Ao no Kanata no Four Rhythm | Minamo Shirase 🚫 ($disable)
Ao no Kanata no Four Rhythm | Minori Hosaka 🚫 ($disable)
Ao no Kanata no Four Rhythm | Misaki Tobisawa 🚫 ($disable)
Ao no Kanata no Four Rhythm | Reiko Satouin 🚫 ($disable)
Ao no Kanata no Four Rhythm | Rika Ichinose 🚫 ($disable)
Ao no Kanata no Four Rhythm | Saki Inui 🚫 ($disable)
Aoharu x Kikanjuu | Haruka Hosokawa 🚫 ($disable)
Aoharu x Kikanjuu | Haruki Hosokawa 🚫 ($disable)
Aoharu x Kikanjuu | Hotaru Tachibana 🚫 ($disable)
Aoharu x Kikanjuu | Ichi Akabane 🚫 ($disable)
Aoharu x Kikanjuu | Kanae Yajima 🚫 ($disable)
Aoharu x Kikanjuu | Masamune Matsuoka 🚫 ($disable)
Aoharu x Kikanjuu | Nagamasa Midori 🚫 ($disable)
Aoharu x Kikanjuu | Takatora Fujimoto 🚫 ($disable)
Aoharu x Kikanjuu | Tooru Yukimura 🚫 ($disable)
Aoi Bungaku | Akiko
Aoi Bungaku | K (AB)
Aoi Bungaku | Kandata
Aoi Bungaku | Mitsuki (AB)
Aoi Bungaku | Sensei (AB)
Aoi Bungaku | Takada
Aoi Bungaku | Youzou Ooba
Araburu Kisetsu no Otome-domo yo. | Hitoha Hongou 🚫 ($disable)
Araburu Kisetsu no Otome-domo yo. | Izumi Norimoto 🚫 ($disable)
Araburu Kisetsu no Otome-domo yo. | Kazusa Onodera 🚫 ($disable)
Araburu Kisetsu no Otome-domo yo. | Momoko Sudou 🚫 ($disable)
Araburu Kisetsu no Otome-domo yo. | Niina Sugawara 🚫 ($disable)
Araburu Kisetsu no Otome-domo yo. | Rika Sonezaki 🚫 ($disable)
Araburu Kisetsu no Otome-domo yo. | Satoshi Sugimoto 🚫 ($disable)
Araburu Kisetsu no Otome-domo yo. | Shun Amagi 🚫 ($disable)
Araburu Kisetsu no Otome-domo yo. | Sonoe Juujo 🚫 ($disable)
Araburu Kisetsu no Otome-domo yo. | Tomita-Sensei 🚫 ($disable)
Araburu Kisetsu no Otome-domo yo. | Tomoaki Yamagishi 🚫 ($disable)
Arpeggio of Blue Steel | Iona 🚫 ($disable)
Asobi Asobase | Chisato Higuchi 🚫 ($disable)
Asobi Asobase | Hanako Honda 🚫 ($disable)
Asobi Asobase | Kasumi Nomura 🚫 ($disable)
Asobi Asobase | Maeda 🚫 ($disable)
Asobi Asobase | Oka Ruu 🚫 ($disable)
Asobi Asobase | Olivia 🚫 ($disable)
Asobi Asobase | Tsugumi Aozora 🚫 ($disable)
Asobi ni Iku yo! | Antonia Morfenoss 🚫 ($disable)
Asobi ni Iku yo! | Aoi Futaba (AsoIku) 🚫 ($disable)
Asobi ni Iku yo! | Assistroid 🚫 ($disable)
Asobi ni Iku yo! | Chaika (AsoIku) 🚫 ($disable)
Asobi ni Iku yo! | Durel 🚫 ($disable)
Asobi ni Iku yo! | Eris 🚫 ($disable)
Asobi ni Iku yo! | Ichika (AsoIku) 🚫 ($disable)
Asobi ni Iku yo! | Jens 🚫 ($disable)
Asobi ni Iku yo! | Kin-chan 🚫 ($disable)
Asobi ni Iku yo! | Kuune 🚫 ($disable)
Asobi ni Iku yo! | Lawry 🚫 ($disable)
Asobi ni Iku yo! | Manami Kinjou 🚫 ($disable)
Asobi ni Iku yo! | Melwin 🚫 ($disable)
Asobi ni Iku yo! | Sadayan 🚫 ($disable)
Baby Steps | Natsu Takasaki
Bakuman。 | Aiko Iwase 🚫 ($disable)
Bakuman。 | Hisashi Sasaki 🚫 ($disable)
Bakuman。 | Kaya Miyoshi 🚫 ($disable)
Bakuman。 | Miho Azuki 🚫 ($disable)
Bakuman。 | Mina Azuki 🚫 ($disable)
Bakuman。 | Miyuki Azuki 🚫 ($disable)
Bakuman。 | Toru Nanamine 🚫 ($disable)
Bakuman。 | Yuriko Aoki 🚫 ($disable)
Bakuten!! | Asawo Kurikoma
Bakuten!! | Kyoichi Ryuugamori
Bakuten!! | Ryouya Misato
Bakuten!! | Shoutaro Futaba
Ballroom e Youkoso | Akira Koumoto 🚫 ($disable)
Ballroom e Youkoso | Chinatsu Hiyama 🚫 ($disable)
Ballroom e Youkoso | Chizuru Hongou 🚫 ($disable)
Ballroom e Youkoso | Gaju Akagi 🚫 ($disable)
Ballroom e Youkoso | Kiyoharu Hyoudou 🚫 ($disable)
Ballroom e Youkoso | Mako Akagi 🚫 ($disable)
Ballroom e Youkoso | Marisa Hyoudou 🚫 ($disable)
Ballroom e Youkoso | Masami Kugimiya 🚫 ($disable)
Ballroom e Youkoso | Shizuku Hanaoka 🚫 ($disable)
Ballroom e Youkoso | Tatara Fujita 🚫 ($disable)
Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside | Red (SnN)
Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside | Rit
Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside | Ruti Ragnason
Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside | Theodora Dephilo
Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside | Tisse Garland
Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside | Yarandrala
Barakamon | Akihiko Arai 🚫 ($disable)
Barakamon | Akiko Kido 🚫 ($disable)
Barakamon | Emi Handa 🚫 ($disable)
Barakamon | Hina Kubota 🚫 ($disable)
Barakamon | Hiroshi Kido 🚫 ($disable)
Barakamon | Jou Tatenaga 🚫 ($disable)
Barakamon | Kentarou Oohama 🚫 ($disable)
Barakamon | Kousuke Kanzaki 🚫 ($disable)
Barakamon | Miwa Yamamura 🚫 ($disable)
Barakamon | Naru Kotoishi 🚫 ($disable)
Barakamon | Sei Handa 🚫 ($disable)
Barakamon | Shin Yoshida 🚫 ($disable)
Barakamon | Takao Kawafuji 🚫 ($disable)
Barakamon | Tamako Arai 🚫 ($disable)
Beautiful Bones | Itsuki Isozaki 🚫 ($disable)
Beautiful Bones | Sakurako Kujou 🚫 ($disable)
Beautiful Bones | Shoutarou Tatewaki 🚫 ($disable)
Beautiful Bones | Yuriko Kougami 🚫 ($disable)
Bokurano | Aiko Tokosumi 🚫 ($disable)
Bokurano | Chizuru Honda 🚫 ($disable)
Bokurano | Daiichi Yamura 🚫 ($disable)
Bokurano | Isao Kako 🚫 ($disable)
Bokurano | Kana Ushiro 🚫 ($disable)
Bokurano | Kanji Yoshikawa 🚫 ($disable)
Bokurano | Maki Ano 🚫 ($disable)
Bokurano | Mako Nakarai 🚫 ($disable)
Bokurano | Misumi Tanaka 🚫 ($disable)
Bokurano | Takami Komoda 🚫 ($disable)
Bokurano | Yoko Machi 🚫 ($disable)
Chihayafuru | Chitose Ayase 🚫 ($disable)
Chuunibyou demo Koi ga Shitai! | Cento 🚫 ($serverdisable)
Chuunibyou demo Koi ga Shitai! | Chimera 🚫 ($serverdisable)
Chuunibyou demo Koi ga Shitai! | Kazari Kannagi 🚫 ($serverdisable)
Chuunibyou demo Koi ga Shitai! | Nanase Tsukumo 🚫 ($serverdisable)
Chuunibyou demo Koi ga Shitai! | Sui Nemuri 🚫 ($serverdisable)
CLANNAD | Akio Furukawa 🚫 ($disable)
CLANNAD | Botan (CLANNAD) 🚫 ($disable)
CLANNAD | Fuuko Ibuki 🚫 ($disable)
CLANNAD | Kanako 🚫 ($disable)
CLANNAD | Katsuki Shima 🚫 ($disable)
CLANNAD | Kotomi Ichinose 🚫 ($disable)
CLANNAD | Kouko Ibuki 🚫 ($disable)
CLANNAD | Mei Sunohara 🚫 ($disable)
CLANNAD | Misae Sagara 🚫 ($disable)
CLANNAD | Nagisa Furukawa 🚫 ($disable)
CLANNAD | Rie Nishina 🚫 ($disable)
CLANNAD | Saki (CLANNAD) 🚫 ($disable)
CLANNAD | Sanae Furukawa 🚫 ($disable)
CLANNAD | Shino Okazaki 🚫 ($disable)
CLANNAD | Sugisaka 🚫 ($disable)
CLANNAD | Tomo Mishima 🚫 ($disable)
CLANNAD | Tomoya Okazaki 🚫 ($disable)
CLANNAD | Tomoyo Sakagami 🚫 ($disable)
CLANNAD | Toshio Koumura 🚫 ($disable)
CLANNAD | Ushio Okazaki 🚫 ($disable)
CLANNAD | Youhei Sunohara 🚫 ($disable)
CLANNAD | Yuki (CLANNAD) 🚫 ($disable)
CLANNAD | Yukine Miyazawa 🚫 ($disable)
CLANNAD | Yusuke Yoshino 🚫 ($disable)
D-Frag! | Ataru Kawahara 🚫 ($disable)
D-Frag! | Chitose Karasuyama 🚫 ($disable)
D-Frag! | Funabori 🚫 ($disable)
D-Frag! | Hata Takafudou 🚫 ($disable)
D-Frag! | Kenji Kazama 🚫 ($disable)
D-Frag! | Minami Oosawa 🚫 ($disable)
D-Frag! | Noe Kazama 🚫 ($disable)
D-Frag! | Roka Shibasaki 🚫 ($disable)
D-Frag! | Sakura Mizukami 🚫 ($disable)
D-Frag! | Shinsen 🚫 ($disable)
D-Frag! | Takao 🚫 ($disable)
D-Frag! | Tama Sakai 🚫 ($disable)
D-Frag! | Tsutsumi Inada 🚫 ($disable)
Deaimon | Itsuka Yukihira 🚫 ($disable)
Deaimon | Nagomu Irino 🚫 ($disable)
Deca-Dence | Fei (DD) 🚫 ($disable)
Deca-Dence | Jill (DD) 🚫 ($disable)
Deca-Dence | Kurenai (DD) 🚫 ($disable)
Deca-Dence | Linmei 🚫 ($disable)
Deca-Dence | Muro 🚫 ($disable)
Deca-Dence | Natsume 🚫 ($disable)
Deca-Dence | Pipe 🚫 ($disable)
Dennou Coil | Daichi Sawaguchi 🚫 ($disable)
Dennou Coil | Fumie Hashimoto 🚫 ($disable)
Dennou Coil | Tamako Harakawa 🚫 ($disable)
Dennou Coil | Yuuko Amasawa 🚫 ($disable)
Dennou Coil | Yuuko Okonogi 🚫 ($disable)
Doukyonin wa Hiza, Tokidoki, Atama no Ue. | Haru (MRC)
Doukyonin wa Hiza, Tokidoki, Atama no Ue. | Nana Oukami
Doukyonin wa Hiza, Tokidoki, Atama no Ue. | Subaru Mikazuki
Flying Witch | Akane Kowata 🚫 ($disable)
Flying Witch | Akira (FW) 🚫 ($disable)
Flying Witch | Anzu Shiina 🚫 ($disable)
Flying Witch | Chinatsu Kuramoto 🚫 ($disable)
Flying Witch | Harbinger of Spring 🚫 ($disable)
Flying Witch | Kei Kuramoto 🚫 ($disable)
Flying Witch | Makoto Kowata 🚫 ($disable)
Flying Witch | Nao Ishiwatari 🚫 ($disable)
Fruits Basket | Akito Sohma 🚫 ($disable)
Fruits Basket | Hatori Sohma 🚫 ($disable)
Fruits Basket | Hiro Sohma 🚫 ($disable)
Fruits Basket | Isuzu Sohma 🚫 ($disable)
Fruits Basket | Kana Sohma 🚫 ($disable)
Fruits Basket | Kimi Toudou 🚫 ($disable)
Fruits Basket | Kisa Sohma 🚫 ($disable)
Fruits Basket | Kureno Sohma 🚫 ($disable)
Fruits Basket | Kyoko Honda 🚫 ($disable)
Fruits Basket | Machi Kuragi 🚫 ($disable)
Fruits Basket | Mayuko Shiraki 🚫 ($disable)
Fruits Basket | Mine Kuramae 🚫 ($disable)
Fruits Basket | Mitsuru (FB) 🚫 ($disable)
Fruits Basket | Ren Sohma 🚫 ($disable)
Full Moon wo Sagashite | Aoi Koga 🚫 ($disable)
Full Moon wo Sagashite | Eichi Sakurai 🚫 ($disable)
Full Moon wo Sagashite | Izumi Rio 🚫 ($disable)
Full Moon wo Sagashite | Keiichi Wakaouji 🚫 ($disable)
Full Moon wo Sagashite | Meroko Yui 🚫 ($disable)
Full Moon wo Sagashite | Mitsuki Kouyama 🚫 ($disable)
Full Moon wo Sagashite | Takuto Kira 🚫 ($disable)
Fullmetal Alchemist | Alex Louis Armstrong 🚫 ($disable)
Fullmetal Alchemist | Alphonse Elric 🚫 ($disable)
Fullmetal Alchemist | Den Rockbell 🚫 ($disable)
Fullmetal Alchemist | Elicia Hughes 🚫 ($disable)
Fullmetal Alchemist | Gracia Hughes 🚫 ($disable)
Fullmetal Alchemist | Greed 🚫 ($disable)
Fullmetal Alchemist | Izumi Curtis 🚫 ($disable)
Fullmetal Alchemist | Julia Crichton 🚫 ($disable)
Fullmetal Alchemist | Juliet Douglas 🚫 ($disable)
Fullmetal Alchemist | Kathleen Elle Armstrong 🚫 ($disable)
Fullmetal Alchemist | King Bradley 🚫 ($disable)
Fullmetal Alchemist | Lan Fan 🚫 ($disable)
Fullmetal Alchemist | Maes Hughes 🚫 ($disable)
Fullmetal Alchemist | Nina Tucker 🚫 ($disable)
Fullmetal Alchemist | Pinako Rockbell 🚫 ($disable)
Fullmetal Alchemist | Riza Hawkeye 🚫 ($disable)
Fullmetal Alchemist | Rosé Thomas 🚫 ($disable)
Fullmetal Alchemist | Scar (FMA) 🚫 ($disable)
Fullmetal Alchemist | Tucker's Chimera 🚫 ($disable)
Fullmetal Alchemist | Van Hohenheim 🚫 ($disable)
Fumetsu no Anata e | Rean Cropp 🚫 ($disable)
Fune wo Amu | Chie Matsumoto 🚫 ($disable)
Fune wo Amu | Kaguya Hayashi 🚫 ($disable)
Fune wo Amu | Kouhei Araki 🚫 ($disable)
Fune wo Amu | Masashi Nishioka 🚫 ($disable)
Fune wo Amu | Midori Kishibe 🚫 ($disable)
Fune wo Amu | Mitsuya Majime 🚫 ($disable)
Fune wo Amu | Professor Oda 🚫 ($disable)
Fune wo Amu | Remi Miyoshi 🚫 ($disable)
Fune wo Amu | Shinichiro Miyamoto 🚫 ($disable)
Fune wo Amu | Take (FwA) 🚫 ($disable)
Fuuka | Fuuka Akitsuki 🚫 ($disable)
Fuuka | Fuuka Aoi 🚫 ($disable)
Fuuka | Hisashi Iwami 🚫 ($disable)
Fuuka | Koyuki Hinashi 🚫 ($disable)
Fuuka | Sara Iwami 🚫 ($disable)
Fuuka | Shelly Hornet 🚫 ($disable)
Fuuka | Tama Reika 🚫 ($disable)
Fuuka | Tomomi 🚫 ($disable)
Gakuen Babysitters | Hayato Kamitani 🚫 ($disable)
Gakuen Babysitters | Kazuma Mamizuka 🚫 ($disable)
Gakuen Babysitters | Kirin Kumatsuka 🚫 ($disable)
Gakuen Babysitters | Kotarou Kashima 🚫 ($disable)
Gakuen Babysitters | Kousuke Mamizuka 🚫 ($disable)
Gakuen Babysitters | Maria Inomata 🚫 ($disable)
Gakuen Babysitters | Ryuuichi Kashima 🚫 ($disable)
Gakuen Babysitters | Sawatori Midori 🚫 ($disable)
Gakuen Babysitters | Taka Kamitani 🚫 ($disable)
Gakuen Babysitters | Takuma Mamizuka 🚫 ($disable)
Gakuen Babysitters | Usaida Yoshihito 🚫 ($disable)
Gin no Saji | Aki Mikage 🚫 ($disable)
Gin no Saji | Ayame Minamikujou 🚫 ($disable)
Gin no Saji | Hajime Nishikawa 🚫 ($disable)
Gin no Saji | Ichiko Fuji 🚫 ($disable)
Gin no Saji | Ichirou Komaba 🚫 ($disable)
Gin no Saji | Mayumi Yoshino 🚫 ($disable)
Gin no Saji | Principal (GnS) 🚫 ($disable)
Gin no Saji | Shingo Hachiken 🚫 ($disable)
Gin no Saji | Shinichiro Inada 🚫 ($disable)
Gin no Saji | Tamako Inada 🚫 ($disable)
Gin no Saji | Tarou Beppu 🚫 ($disable)
Gin no Saji | Yoshiyuki Nakajima 🚫 ($disable)
Gin no Saji | Yuugo Hachiken 🚫 ($disable)
Ginga Eiyuu Densetsu | Annerose von Grünewald 🚫 ($disable)
Ginga Eiyuu Densetsu | Evangelin Mittermeyer 🚫 ($disable)
Ginga Eiyuu Densetsu | Frederica Greenhill 🚫 ($disable)
Ginga Eiyuu Densetsu | Hildegard von Mariendorf 🚫 ($disable)
Ginga Eiyuu Densetsu | Jessica Edwards 🚫 ($disable)
Ginga Eiyuu Densetsu | Katerose von Kreutzer 🚫 ($disable)
Ginga Eiyuu Densetsu | Wen-li Yang 🚫 ($disable)
Glass no Hana to Kowasu Sekai | Dorothy (Garakowa) 🚫 ($disable)
Glass no Hana to Kowasu Sekai | Dual 🚫 ($disable)
Glass no Hana to Kowasu Sekai | Remo 🚫 ($disable)
Golden Time | Banri Tada 🚫 ($disable)
Golden Time | Kouko Kaga 🚫 ($disable)
Golden Time | Mitsuo Yanagisawa 🚫 ($disable)
Golden Time | Nana (GT) 🚫 ($disable)
Golden Time | Sato Takaya 🚫 ($disable)
Grisaia no Kajitsu | Amane Suou 🚫 ($disable)
Grisaia no Kajitsu | Chiara Farrell 🚫 ($disable)
Grisaia no Kajitsu | Kazuki Kazami 🚫 ($disable)
Grisaia no Kajitsu | Michiru Matsushima 🚫 ($disable)
Grisaia no Kajitsu | Yuuji Kazami 🚫 ($disable)
Grisaia no Meikyuu | Asako Kusakabe 🚫 ($disable)
Grisaia no Meikyuu | Milliela Stanfield 🚫 ($disable)
Gugure! Kokkuri-san | Inugami 🚫 ($disable)
Gugure! Kokkuri-san | Kohina Ichimatsu 🚫 ($disable)
Gugure! Kokkuri-san | Kokkuri-san 🚫 ($disable)
Gugure! Kokkuri-san | Tama (GuguKoku) 🚫 ($disable)
Hachimitsu to Clover | Ayumi Yamada 🚫 ($disable)
Hachimitsu to Clover | Hagumi Hanamoto 🚫 ($disable)
Hachimitsu to Clover | Rika Harada 🚫 ($disable)
Hachimitsu to Clover | Shinobu Morita 🚫 ($disable)
Hachimitsu to Clover | Shuuji Hanamoto 🚫 ($disable)
Hachimitsu to Clover | Takumi Mayama 🚫 ($disable)
Hachimitsu to Clover | Takumi Nomiya 🚫 ($disable)
Hachimitsu to Clover | Yuuta Takemoto 🚫 ($disable)
Hai to Gensou no Grimgar | Alice (HGG) 🚫 ($disable)
Hai to Gensou no Grimgar | Anna (HGG) 🚫 ($disable)
Hai to Gensou no Grimgar | Barbara (HGG) 🚫 ($disable)
Hai to Gensou no Grimgar | Choco (HGG) 🚫 ($disable)
Hai to Gensou no Grimgar | Haruhiro 🚫 ($disable)
Hai to Gensou no Grimgar | Manato 🚫 ($disable)
Hai to Gensou no Grimgar | Merry 🚫 ($disable)
Hai to Gensou no Grimgar | Mimori 🚫 ($disable)
Hai to Gensou no Grimgar | Ranta 🚫 ($disable)
Hai to Gensou no Grimgar | Setora 🚫 ($disable)
Hai to Gensou no Grimgar | Shihoru 🚫 ($disable)
Hai to Gensou no Grimgar | Yume 🚫 ($disable)
Hanasaku Iroha | Enishi Shijima 🚫 ($disable)
Hanasaku Iroha | Kouichi Tanemura 🚫 ($disable)
Hanasaku Iroha | Minko Tsurugi 🚫 ($disable)
Hanasaku Iroha | Nako Oshimizu 🚫 ($disable)
Hanasaku Iroha | Ohana Matsumae 🚫 ($disable)
Hanasaku Iroha | Renji Togashi 🚫 ($disable)
Hanasaku Iroha | Satsuki Matsumae 🚫 ($disable)
Hanasaku Iroha | Sui Shijima 🚫 ($disable)
Hanasaku Iroha | Tomoe Wajima 🚫 ($disable)
Hanasaku Iroha | Tooru Miyagishi 🚫 ($disable)
Hanasaku Iroha | Yuina Wakura 🚫 ($disable)
Hanebado! | Ayano Hanesaki 🚫 ($disable)
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto | Aizou Shibasaki
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto | Hiyori Suzumi
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto | Yuujirou Someya
Hibike! Euphonium | Akiko Oumae 🚫 ($disable)
Hibike! Euphonium | Aoi Saitou 🚫 ($disable)
Hibike! Euphonium | Asuka Tanaka 🚫 ($disable)
Hibike! Euphonium | Azusa Sasaki 🚫 ($disable)
Hibike! Euphonium | Eru Kabutodani 🚫 ($disable)
Hibike! Euphonium | Haruka Ogasawara 🚫 ($disable)
Hibike! Euphonium | Hazuki Katou 🚫 ($disable)
Hibike! Euphonium | Kanade Hisaishi 🚫 ($disable)
Hibike! Euphonium | Kaori Nakaseko 🚫 ($disable)
Hibike! Euphonium | Kohaku Kawashima 🚫 ($disable)
Hibike! Euphonium | Kumiko Oumae 🚫 ($disable)
Hibike! Euphonium | Mamiko Oumae 🚫 ($disable)
Hibike! Euphonium | Masako Sakai 🚫 ($disable)
Hibike! Euphonium | Mayu Kuroe 🚫 ($disable)
Hibike! Euphonium | Michiru Hakase 🚫 ($disable)
Hibike! Euphonium | Mirei Suzuki 🚫 ($disable)
Hibike! Euphonium | Miyoko Ouno 🚫 ($disable)
Hibike! Euphonium | Mizore Yoroizuka 🚫 ($disable)
Hibike! Euphonium | Nagase Riko 🚫 ($disable)
Hibike! Euphonium | Natsuki Nakagawa 🚫 ($disable)
Hibike! Euphonium | Noboru Taki 🚫 ($disable)
Hibike! Euphonium | Nozomi Kasaki 🚫 ($disable)
Hibike! Euphonium | Raimu Okamoto 🚫 ($disable)
Hibike! Euphonium | Raina Kitamura 🚫 ($disable)
Hibike! Euphonium | Ririka Kenzaki 🚫 ($disable)
Hibike! Euphonium | Sapphire Kawashima 🚫 ($disable)
Hibike! Euphonium | Satomi Niiyama 🚫 ($disable)
Hibike! Euphonium | Satsuki Suzuki 🚫 ($disable)
Hibike! Euphonium | Shinobu Morita (HE) 🚫 ($disable)
Hibike! Euphonium | Shuuichi Tsukamoto 🚫 ($disable)
Hibike! Euphonium | Sumiko Hirao 🚫 ($disable)
Hibike! Euphonium | Takuya Gotou 🚫 ($disable)
Hibike! Euphonium | Tomoe Kabe 🚫 ($disable)
